SMILES,docking_score_kcal_mol,selectivity_note
CN(C(=O)c1cn(C)c(=O)cn1)[C@H]1CN(c2cncc(-c3nn[nH]n3)n2)C[C@@H]1O,-7.559,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(N[C@@H]1CCCN(c2ccnc(-c3nn[nH]n3)n2)C1)[C@@H]1CCc2nn[nH]c2C1,-7.491,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1nonc1CC(=O)NC[C@H]1CN(c2ccnc(-c3nn[nH]n3)n2)C[C@H]1O,-7.574,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cn1nnc(C(=O)N[C@@H]2CCCN(c3cncc(-c4nn[nH]n4)n3)C2)n1,-7.026,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@@H]1CN(c2ccnc(-c3nn[nH]n3)n2)CCO1)[C@H]1[C@@H]2COC[C@@H]21,-7.038,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C1CC[C@H](C(=O)NC[C@H]2CCCN(c3cncc(-c4nn[nH]n4)n3)C2)CN1,-7.192,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cn1cc(C(=O)N[C@@H]2CCCN(c3ccnc(-c4nn[nH]n4)n3)C2)c(O)nc1=O,-7.349,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(N[C@H]1CC(=O)N(C2CN(c3cncc(-c4nn[nH]n4)n3)C2)C1)c1nc2ncccn2n1,-7.474,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(N[C@H]1[C@@H]2CN(c3cncc(-c4nn[nH]n4)n3)C[C@@H]21)c1ccn2nnnc2c1,-7.532,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@]1(O)CCN(c2cncc(-c3nn[nH]n3)n2)C1)c1nc2ncccn2n1,-7.597,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@@H]1COCCN1c1ccc(-c2nn[nH]n2)nn1)c1cnn2ncccc12,-7.677,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1nonc1CC(=O)N[C@H]1CCCN(c2cncc(-c3nn[nH]n3)n2)[C@H]1C,-7.155,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cn1nnc(C(=O)N[C@@H]2CCN(c3cncc(-c4nn[nH]n4)n3)C[C@H]2O)n1,-7.162,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
CN(C(=O)c1ncccc1O)[C@H]1CN(c2cncc(-c3nn[nH]n3)n2)C[C@@H]1O,-7.44,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@H]1COCCN1c1cncc(-c2nn[nH]n2)n1)c1cn(Cc2cnn[nH]2)c(=O)cn1,-8.02,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@H]1COCCN1c1ccnc(-c2nn[nH]n2)n1)c1cc(-n2ccnc2)ccn1,-7.626,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1nn[nH]c1C(=O)N[C@@H]1CCCN(c2ccnc(-c3nn[nH]n3)n2)C1,-7.567,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@H]1CN(c2cncc(-c3nn[nH]n3)n2)CCO1)c1ccc2nn[nH]c2n1,-7.921,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1cc(C(=O)N[C@H]2CCCN(c3ccnc(-c4nn[nH]n4)n3)C2)ncc1C(N)=O,-7.861,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@@H]1COCCN1c1ncccc1-c1nn[nH]n1)c1cc(-n2ccnc2)ccn1,-7.304,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@H]1CN(c2ccnc(-c3nn[nH]n3)n2)CCO1)c1cnc2[nH]c(O)nc2c1,-7.978,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(c1cnn[nH]1)N1CC[C@H]2CCN(c3ccnc(-c4nn[nH]n4)n3)[C@@H]2C1,-7.022,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(c1cc(-c2nn[nH]n2)c[nH]1)N1CCN(c2cncc(-c3nn[nH]n3)n2)CC1,-7.564,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NCC(=O)N1CC[C@@H]2[C@@H]1CCCN2C(=O)c1cc(-c2nn[nH]n2)c[nH]1)c1ncccc1O,-7.496,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
CN1C[C@@H](C(=O)NC[C@H]2CCCN(c3cncc(-c4nn[nH]n4)n3)C2)NC1=O,-7.369,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@@H]1CN(c2ccncc2-c2nn[nH]n2)CCO1)c1nc2ncccn2n1,-7.754,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
